,image,num_iters,execution_time,star_coord,flux_before,flux_after,bkg_before,bkg_after,l1_centroid_err,before_ecc,after_ecc,before_fwhm (pix),after_fwhm (pix),flag,bestBeta
55,ccfbvc170120.fits,10,0.4612,"(512.4826394138325, 109.37329288548088)",169877.2,169877.2254,492.89227294921875,0.0,5.4445,0.5192505670310421,0.16449707447485262,5.7087,3.44,1,0.980461376917337
56,ccfbvc170120.fits,10,0.4614,"(175.4320312626543, 505.34615702594846)",41818.957,41818.9473,362.61119842529297,0.0,2.0877,0.4937317670170104,0.15518737090793255,5.5382,2.7868,1,0.9856753326693589
57,ccfbvc170120.fits,8,0.2833,"(436.36120707135615, 286.476217872201)",80197.02,80197.0801,510.13521575927734,0.0,1.5551,0.630924438171498,0.1509078077578352,8.1247,2.9803,1,1.0061277197569496
58,ccfbvc170120.fits,10,0.4747,"(209.80082690509366, 449.3716872472659)",121625.75,121625.7454,396.6573791503906,0.0,1.6658,0.5338557180815804,0.12391597575849922,8.2413,3.3428,1,0.9917411003148779
59,ccfbvc170120.fits,10,0.4806,"(463.84255057884275, 304.041660271735)",150859.22,150859.2463,673.1444702148438,0.0,5.4582,0.5644155461250595,0.3534635085345551,6.7048,3.0924,1,0.9886735346300537
60,ccfbvc170121.fits,10,0.4747,"(467.5642300582483, 303.3751938121604)",110412.31,110412.3565,446.1480407714844,0.0,1.4513,0.22518896966403856,0.10609487139394014,6.1588,4.1261,1,1.0296542986860233
61,ccfbvc170121.fits,10,0.506,"(86.62588363010323, 288.38241174179336)",67378.38,67378.3698,269.74627685546875,0.0,2.0586,0.19329895831390542,0.09506833928422442,6.8243,3.8565,1,0.9707941662868188
62,ccfbvc310078.fits,10,0.5361,"(52.64173585021789, 130.45846815504848)",83700.88,83628.5256,120.0505142211914,0.08041080414857533,0.6403,0.39090008158497347,0.6321999004045802,8.0935,4.0957,1,0.9520584494295802
63,ccfbvc310078.fits,10,0.4817,"(206.65417264796733, 132.48386019463794)",12846.367,12846.3682,90.1240177154541,0.0,2.2597,0.37360333419686986,0.5829670137081403,6.5461,3.3603,1,0.9684854455525527
64,ccfbvc310078.fits,10,0.4888,"(265.0205692049229, 519.4335630442079)",13254.84,13236.4492,94.72775840759277,0.020428668536663815,1.491,0.37143016162195275,0.45626730477311284,7.2018,2.1804,1,0.9563558350286023
65,ccfbvc310078.fits,10,0.5244,"(334.11598047247696, 207.57638135127152)",11531.009,11531.0049,97.01101684570312,0.0,1.7906,0.4570685480339153,0.40504918012689584,7.3263,2.0005,1,0.9686570058886036
66,ccfbvc310078.fits,10,0.511,"(184.8611132060171, 440.92006924424857)",21063.133,21057.636,99.3653335571289,0.006116624838120097,0.73,0.4141090543315443,0.4638846586352885,7.4877,2.2365,1,0.950695213053119
67,ccfbvc310078.fits,10,0.5375,"(289.6196762664522, 380.9206145152966)",11480.134,11480.1389,104.40986633300781,0.0,1.7355,0.2666394597665106,0.6271609438712343,7.1007,2.8663,1,0.9989452760277563
68,ccfbvc310079.fits,10,0.4586,"(495.96393703150767, 225.7517658907248)",17014.646,17014.6475,110.83745765686035,0.0,0.9794,0.31513718552232883,0.18016689140319408,5.956,2.9827,1,1.0275132823361115
69,ccfbvc310079.fits,8,0.2845,"(230.6794844621048, 472.7010183600633)",4770.759,4770.7585,92.12974548339844,0.0,0.8023,0.06556371667083116,0.08245946480077582,4.4413,2.08,1,0.957455064367977
70,ccfbvc310079.fits,10,0.5215,"(502.60259044452, 517.984404469541)",95816.31,95816.3212,153.72208976745605,0.0,0.3375,0.32342695284393885,0.4236681642455772,5.9036,3.5616,1,0.9814355981076327
71,ccfbvc310079.fits,10,0.6222,"(207.2236629322264, 131.53999315150807)",13529.529,13529.5343,87.53677940368652,0.0,0.2503,0.23442073510386918,0.19849472179688998,5.822,2.8585,1,0.9917411003148779
72,ccfbvc310079.fits,5,0.1326,"(451.96875920572296, 489.62997446686586)",2774.605,2774.5994,122.20389175415039,0.0,1.5582,0.1852877743996416,0.11684033420148865,4.9349,2.0085,1,1.0261619615328719
73,ccfbvc310079.fits,10,0.4407,"(226.01196883404447, 59.07072518834571)",11819.911,11819.9112,102.94252014160156,0.0,0.6437,0.1918997577195657,0.12331881616864693,5.83,2.5527,1,1.0029650578356006
74,ccfbvc310080.fits,7,0.2533,"(212.28776449906132, 450.0919432507792)",44618.508,44618.5093,107.91812133789062,0.0,0.1242,0.20884608604248878,0.1737246550252648,6.3478,3.753,1,0.9534388521115218
75,ccfbvc310080.fits,10,0.4803,"(177.83153456643288, 506.239911164142)",21140.508,21140.512,94.39887619018555,0.0,0.4284,0.22803827000358834,0.1201815316724808,6.1706,3.6494,1,0.9505522117123602
76,ccfbvc310080.fits,10,0.6395,"(433.6557657389962, 16.409552369180194)",13289.783,13289.7794,98.03240203857422,0.0,0.3035,0.21838413354625208,0.1821668880019519,6.4678,2.8941,1,0.950695213053119
77,ccfbvc310080.fits,7,0.2318,"(364.4109928203983, 413.49389493349105)",4056.6592,4056.6587,107.77027893066406,0.0,1.159,0.23141537407758161,0.09052106665259674,5.0438,2.0401,1,1.0408265885966654
78,ccfbvc310080.fits,10,1.0129,"(156.81873082053954, 58.90881835666826)",7940.136,7940.1365,89.236328125,0.0,0.7746,0.2409727380969563,0.1014580634170188,5.838,2.5733,1,0.9516587828927856
79,ccfbvc310080.fits,10,0.73,"(416.2218724441299, 361.1147037073784)",7015.143,7015.1439,110.02652740478516,0.0,0.0967,0.5269288417683182,0.1238145554825637,6.5492,2.1898,1,0.98390297910487
80,ccfbvc310081.fits,10,0.7418,"(188.11757058812034, 65.12939948074674)",14310.175,14310.177,87.43411254882812,0.0,0.9826,0.39385308243519934,0.4840597333070006,6.8865,3.2247,1,0.9546665663213615
81,ccfbvc310081.fits,10,0.5383,"(439.67304009724467, 102.32645440499986)",15025.363,15025.3637,98.96790885925293,0.0,0.35,0.2732929154682586,0.128518237519184,6.4375,3.0728,1,0.9665266939063002
