,image,num_iters,execution_time,star_coord,flux_before,flux_after,bkg_before,bkg_after,l1_centroid_err,before_ecc,after_ecc,before_fwhm (pix),after_fwhm (pix),flag,bestBeta
39,ccfbug080022.fits,1,0.0095,"(266.1312333626192, 418.5441728747182)",9382.971,9382.9593,123.05562019348145,0.0,0.1605,0.14292950954657868,0.06895772079138218,5.7663,4.3487,1,1.0
40,ccfbug080022.fits,1,0.0181,"(393.533999057527, 312.3875527221242)",5212.804,-4697.214,115.35062408447266,11.011130589050405,0.1342,0.029766075901640265,0.07755649713505464,4.7405,3.3032,0,1.0
41,ccfbug080022.fits,1,0.0093,"(88.15542770173967, 288.9674799097605)",3896.7383,1288.9789,111.77984237670898,2.8975179938479494,0.0403,0.09481772570162728,0.1239430583503276,5.1622,4.526,0,1.0
42,ccfbvc170118.fits,2,0.0219,"(479.83362392325495, 26.54679750685915)",57325.76,57325.7619,154.49644088745117,0.0,1.8638,0.4634369415286388,0.16207228597591328,8.5745,3.967,1,1.0
43,ccfbvc170118.fits,2,0.0386,"(212.02821999350957, 449.52699505735575)",34245.746,34245.7542,139.09034538269043,0.0,2.4781,0.4550415461587213,0.29583012531211994,8.4671,4.4299,1,1.0
44,ccfbvc170118.fits,3,0.0471,"(241.01150709939577, 412.191604286357)",27590.906,27590.9038,150.1019058227539,0.0,2.4958,0.4186075316609239,0.17022410039511737,8.7034,3.6763,1,1.0
45,ccfbvc170118.fits,1,0.0095,"(465.1731740467765, 49.39755990005642)",15110.577,6437.8915,137.36184692382812,9.636314361401663,1.0306,0.44137968914335557,0.5294266523877759,8.6564,5.7375,0,1.0
46,ccfbvc170118.fits,3,0.0478,"(466.6760678398902, 304.274524105786)",62362.08,62362.1003,213.3965721130371,0.0,4.911,0.42587361109655775,0.49298071210962713,7.5843,4.5508,1,1.0
47,ccfbvc170118.fits,4,0.0817,"(440.15211696026324, 101.13413685404076)",9526.945,9526.9428,125.4571704864502,0.0,1.1241,0.5108125375190604,0.21079827625943348,6.7434,2.5551,1,1.0
48,ccfbvc170119.fits,3,0.0471,"(442.1624078765833, 101.23170295167404)",10951.951,10951.9548,123.68020248413086,0.0,2.0669,0.06898517520956249,0.15213615950366222,8.6364,3.4345,1,1.0
49,ccfbvc170119.fits,2,0.0216,"(329.030037610923, 106.35897739642328)",79026.625,79026.6474,188.6024169921875,0.0,1.2386,0.10629093788973054,0.40959261379379397,8.5661,4.8146,1,1.0
50,ccfbvc170119.fits,2,0.0245,"(96.04627384179024, 356.4112819063023)",39192.023,39192.026,130.2291259765625,0.0,2.9763,0.519069621284408,0.38657821315999463,7.3122,5.0371,1,1.0
51,ccfbvc170119.fits,3,0.0463,"(445.21775728737185, 132.21730084565195)",31766.14,31766.1332,143.41498565673828,0.0,1.5203,0.09994520538825857,0.29288722974535675,8.5635,4.3172,1,1.0
52,ccfbvc170119.fits,3,0.0731,"(467.3907128465584, 304.11849827806185)",51082.83,51082.8169,222.61991500854492,0.0,1.9642,0.3549548700909596,0.1392184628557449,7.0361,4.0078,1,1.0
53,ccfbvc170119.fits,3,0.0479,"(445.1871589482213, 261.86192478161524)",29800.04,29800.035,153.9548225402832,0.0,1.5375,0.14319233543811782,0.32558289937671103,8.1497,4.0123,1,1.0
54,ccfbvc170120.fits,8,0.285,"(93.73611937023371, 90.10214962937513)",38636.043,38636.0961,391.35643005371094,0.0,1.6012,0.467918905068638,0.3109842865670147,4.7315,2.5867,1,1.0
