col1_1,label_1,xcentroid_1,ycentroid_1,sky_centroid_1,bbox_xmin_1,bbox_xmax_1,bbox_ymin_1,bbox_ymax_1,area_1,semimajor_sigma_1,semiminor_sigma_1,orientation_1,eccentricity_1,min_value_1,max_value_1,local_background_1,segment_flux_1,segment_fluxerr_1,ellipticity_1,fwhm_1,col1_2,label_2,xcentroid_2,ycentroid_2,sky_centroid_2,bbox_xmin_2,bbox_xmax_2,bbox_ymin_2,bbox_ymax_2,area_2,semimajor_sigma_2,semiminor_sigma_2,orientation_2,eccentricity_2,min_value_2,max_value_2,local_background_2,segment_flux_2,segment_fluxerr_2,ellipticity_2,fwhm_2,Separation
63,64,70.07144296602091,303.93848732512805,,67,75,300,307,56.0,1.0877659894634646,0.9830492607523952,39.80938270826538,0.4280980353706945,0.0,3288.346927732648,0.0,16944.26683617087,,0.09626769886666564,2.441314011207102,65,66,70.28539454787187,304.0327729191338,,62,80,295,313,222.0,3.4534662570203305,3.05648670246024,61.43934739262948,0.465497955922581,6.073574051766739,264.48386512037445,1.0426714654936133,16651.323548010558,,0.11495104483881846,7.679121991498699,0.2338055872162642
64,65,355.40940662607625,303.8949870184019,,352,359,301,307,46.0,1.0850185608031202,0.9358657701101416,21.746680288458776,0.5059985270054066,0.0,69.24943925506054,0.0,317.5205489969078,,0.137465658267244,2.385881321129827,67,68,356.1767186056862,304.0075480081876,,355,358,302,306,8.0,1.446768671964438,0.9065914997803631,76.04653500614191,0.7793153257853691,16.025934247813026,27.91866903498783,1.1701494616841062,189.36836028116443,,0.3733680322581332,2.8429260423380405,0.7755241134061844
65,66,215.6123389205783,312.1762239361111,,212,219,309,316,55.0,1.023789108728802,0.9278120588354606,-57.57574799015222,0.42273550755843625,0.0,198.2800169596848,0.0,480.7120235766298,,0.09374689481949294,2.3006117952678014,69,70,215.81718532022765,311.76470191032286,,214,217,311,313,9.0,1.0357436122668784,0.7055902618907592,19.81118710772556,0.7320598947532857,9.038659643814519,34.265035175918946,1.657058741593282,176.19383328573073,,0.3187597263125086,2.0867894206880333,0.45968731237458527
67,68,245.4968186904971,322.3326374907619,,243,249,318,325,48.0,1.0993826696141509,0.9457529904042583,89.3838567466153,0.5098585845424256,0.0,87.78444425485166,0.0,310.06734597839704,,0.1397417691365026,2.414747670850821,71,72,245.4632866196072,321.8962189461806,,244,248,318,324,15.0,2.0095410847733053,0.885808693565162,67.26236347791486,0.8976046185042856,14.573238757332136,35.89058748920027,-1.6936690979961515,354.43383349663,,0.5591985153838797,3.656768049056348,0.43770486155924815
68,69,347.7545119645912,334.10602360591685,,345,351,331,337,45.0,0.9715639430573395,0.8882110753289755,75.95466308046343,0.40524632878321964,0.0,427.7347017369411,0.0,1405.66087334449,,0.08579246721123401,2.1919159122661065,72,73,347.734159652102,333.92646331278496,,343,352,329,338,54.0,2.21276465343546,1.9211992831958755,-66.79815583113935,0.49615353135410983,-0.39087939694341034,46.97835036925975,-0.16978373387782963,1349.0989199315184,,0.13176519689380894,4.8794616170361,0.18071003152361637
69,70,134.95673401935804,343.33760302028884,,132,141,332,346,93.0,1.1297228902500778,1.0204463339861545,76.83155769248211,0.42906974517791957,0.0,3668.759301812905,0.0,20457.95339395895,,0.09672863779872032,2.534898169311089,73,74,135.19232270033706,343.169615452892,,126,146,332,353,245.0,3.5274634784277614,3.1601300389000127,65.6482039045181,0.44432693487193753,4.725130001004176,308.5040696583867,-0.6519887845601766,21057.46946931169,,0.10413529205169103,7.885908837809588,0.2893472816622632
71,72,333.1748430716954,342.82320288801174,,330,336,340,347,49.0,1.1748757594667905,1.0161137871325971,75.76790975065279,0.5019973819717128,0.0,181.87987177358434,0.0,579.3036999658528,,0.13513086048029999,2.586456706228114,74,75,333.34871020721823,343.3234779019891,,331,335,339,347,15.0,2.188889674253097,0.9015356968207271,85.89991614238025,0.9112430883889535,13.877445949219208,31.492732803144378,1.0603555228118613,340.55263171905005,,0.5881310477064801,3.9417762500134694,0.5296271050701449
72,73,201.92489370366116,353.8186172181761,,199,205,350,357,49.0,1.2748851966502655,1.0121267532110299,-72.3036879848884,0.608053060618956,0.0,130.86723230960564,0.0,607.2428289298723,,0.2061036116268571,2.710464786563016,75,76,202.33423370903438,353.3460217427241,,199,204,349,357,20.0,2.128289193005699,1.3805035805878403,87.3091507910107,0.7610913264221176,13.056469179449302,43.22332341049819,-0.6237069584281792,517.4011674975164,,0.35135526453610877,4.224065742336873,0.6252245383993359
73,74,366.12928149897397,356.3828184640684,,364,368,351,360,43.0,1.07866806151318,0.7885458891250102,85.32724265937206,0.6823381949774749,0.0,6034.036933677674,0.0,23150.186203442056,,0.2689633472425056,2.224855990186857,101,102,366.47539630422295,356.41987442601464,,360,374,346,367,227.0,3.6093560958350697,2.87087614266313,79.00182509692797,0.6060869165856327,-2.8789180152731983,397.99331209000354,7.159770163779681,23349.23209769276,,0.20460157811086876,7.67927383228623,0.3480928076365634
74,75,294.82588482145496,356.24641345402557,,292,298,353,359,42.0,0.9241499908009381,0.9012010858876935,-30.472553095264097,0.2214683769436898,0.0,543.6764322797749,0.0,2318.9601236219814,,0.02483244618479652,2.149356499388066,76,77,294.8004262815542,356.13876536631903,,290,299,350,361,67.0,2.3127996551661516,2.04300419558315,-79.94211558858393,0.46871997479623706,2.26702675301946,52.942787052038646,2.0843249061007234,1857.3574994742546,,0.1166531908547952,5.138395508306863,0.11061757564126831
76,77,48.599903134087405,365.6294896151016,,46,51,363,368,32.0,0.9749527966811361,0.8216077682096844,6.180895064878933,0.538359265717288,0.0,23.928025932791698,0.0,90.68129127927237,,0.1572845670000207,2.1229798332079524,79,80,48.8739224673914,366.15688590411037,,48,50,364,368,8.0,1.2310032720481576,0.5747803627123155,61.73967186195926,0.8842994259274571,16.17473597522831,32.535045909109535,0.7292108859286577,188.55969916320407,,0.5330797441699816,2.2621852545091055,0.5943344518741924
88,89,295.020784218947,5.420274229208875,,286,303,4,10,72.0,1.205337435433997,0.7568318930081613,3.8064702121503067,0.7782936791748051,0.0,9010.312387995582,0.0,37695.79335801474,,0.372099570826277,2.3698621876531627,0,1,295.0879144105176,5.840336572231057,,284,307,0,21,366.0,3.840168920973999,3.757599814209559,-61.30778265578117,0.20625358205503969,0.999187483563631,611.8811663536522,4.598317772101069,42113.53926356451,,0.02150142570902791,8.946217300878864,0.42539256533887443
94,95,308.704365262324,24.51586147449574,,303,314,18,31,115.0,1.983077628780255,1.1322096356587037,72.6641222653335,0.8209948411759712,0.0,232.85102085250017,0.0,1825.137337920853,,0.4290643900031793,3.8023218602220394,11,12,308.6696394886341,24.465213084298462,,304,313,16,32,73.0,3.452862810615878,1.901136219963087,80.5469896459832,0.8347711321806289,-3.90704043206755,39.46231946802392,6.023913727354643,1381.8977686828275,,0.44940290876370315,6.563272653200451,0.061409598500053994
96,97,349.7689015454434,10.411642944035519,,346,353,8,13,42.0,1.29269831816535,0.926084645595812,8.671712885388674,0.6976933062572113,0.0,42.796995715367665,0.0,174.52964373773108,,0.283603426582817,2.6478387130359096,4,5,349.6013472201427,10.33578233073608,,348,351,9,11,7.0,0.9115673654211099,0.6435940897859107,21.373665491103694,0.7081817252435542,11.50624451708438,35.00834260058048,5.685787921000998,128.22915931246172,,0.2939697994907986,1.858047335846269,0.1839273894153069
99,100,284.3863331101708,38.86618985429746,,281,290,33,43,85.0,1.4190411674027255,1.1250103379132164,86.81290315561348,0.6094869195481283,0.0,1541.3769359345054,0.0,10747.520088779629,,0.2072038755772494,3.015331250142363,15,16,284.73084398055886,37.91204430629626,,277,293,25,46,237.0,4.214594686283977,3.0925606264979697,-89.40131166171895,0.6793934789485233,2.161914005827012,178.73846439003188,4.980072869817522,11329.469643313254,,0.2662258516667255,8.704355807617487,1.01443652664227
100,101,93.50397213586689,37.56128571177799,,89,98,34,43,80.0,1.177589576290205,1.0813590387835912,58.76821953936887,0.3959275103898815,0.0,175.623141039524,0.0,845.5979272139305,,0.08171823141452372,2.6621209785734923,17,18,93.06896985837012,37.75859320303225,,91,95,35,41,13.0,1.7561393008815778,0.9789109350505202,67.01830317462975,0.8302292170699875,14.444854245282142,30.602367875353835,3.5062600911698087,282.30432218011026,,0.4425778555498934,3.3477772970993316,0.47765806549499457
103,104,68.8591414043912,68.90866265178137,,65,74,66,72,61.0,1.2692302180688704,0.8418661766189334,-8.578419923210216,0.7483635346330965,0.0,201.88847015925762,0.0,481.84016397758654,,0.3367112091769845,2.536046078766081,26,27,68.80304438298883,69.76649944400262,,67,71,67,72,12.0,1.7861000777793075,0.8188883394862333,-56.94795614154282,0.8887055414988942,10.579305005681835,36.18413624688364,1.5107267593754985,260.2519227959497,,0.541521581195846,3.2717305657458127,0.8596690281141111
105,106,84.94477193737436,106.90929600205295,,80,89,102,111,68.0,1.3095451974041792,0.8459507989157756,-57.10714756973439,0.7633473600920904,0.0,267.94323804381696,0.0,1305.8590138785858,,0.3540117587444517,2.5959375212472406,92,93,84.80454352579616,107.85375702022307,,83,87,105,112,31.0,1.8742860372901977,1.164000379243237,-78.39582582079797,0.7837815009619656,8.490053957347804,50.90340716490977,0.28506136479605626,799.6393754009389,,0.37896331932018046,3.6737626813129682,0.9548144438877515
