,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,ellipticity,fwhm
43,44,344.4354025781422,182.47460022367068,,341,348,180,185,44.0,1.2473893756562633,0.9640608289120831,22.471892301606758,0.6345731738780592,0.0,15.451635209133316,0.0,87.80643536892254,,0.2271372133461682,2.625066492337218
44,45,48.703157118787956,195.2135127307088,,46,53,192,198,47.0,1.001776184815,0.8914332665417569,43.408338694665204,0.4562478824269004,0.0,276.6293385421458,0.0,1315.189211730855,,0.11014727635357024,2.2328666373402775
45,46,127.14670315928747,196.90904258836395,,124,130,194,200,47.0,1.1820773932653266,0.9816105456035845,-57.773643505374025,0.557150700584661,0.0,108.15818468233617,0.0,405.2361631894843,,0.16958859783958802,2.5584587304557016
46,47,253.09029976171882,201.81428071212363,,251,255,200,204,24.0,0.8694109629407245,0.829825995881208,22.151824446626566,0.29830944528578607,0.0,7.652288996402141,0.0,22.18151104725441,,0.04553078894430207,2.0012414329623205
47,48,279.07944904016597,203.00880839390456,,276,282,200,206,42.0,0.9387905592752551,0.8651631384779845,81.921245911446,0.3882073673983738,0.0,148.35102904426702,0.0,453.6629566463658,,0.07842795186831752,2.125761524241884
48,49,181.4573178413368,207.41665845377577,,180,183,206,209,16.0,0.8201687406014666,0.6824141650666989,-44.29073977803386,0.554713870528993,0.0,2.1957663389703126,0.0,5.930742964350303,,0.1679588220269722,1.7765754510904395
49,50,86.43902636924796,210.9396869336537,,84,90,208,214,41.0,0.9536812981692595,0.9218113777358801,46.294103651810666,0.2563568400788308,0.0,7939.308526751663,0.0,36189.45685708626,,0.03341778903975445,2.2085426698437223
50,51,101.18819260692638,211.28879165061107,,97,104,208,215,56.0,1.412460803382066,1.2033630704964398,-73.86964986453852,0.5236034589642026,0.0,8.886348919414628,0.0,94.6675585112781,,0.1480379012181806,3.0897214143029603
51,52,251.9617059814534,217.16214527775443,,249,255,214,220,43.0,0.9910289622547267,0.8469251881580135,-25.255499672969695,0.5193004124824183,0.0,138.8570307256286,0.0,356.5955841909346,,0.14540823687822135,2.1706668577129857
52,53,147.81336634728643,236.95243069317632,,145,150,234,240,38.0,1.05855514423264,0.9666700755293036,-87.21469784813773,0.4075169231846434,0.0,4.761959471027317,0.0,30.291566451113205,,0.08680234487920324,2.386973434455073
53,54,368.1410331761796,238.33562567947905,,366,370,234,242,40.0,1.365449756878104,0.836443156732343,83.31381247205374,0.7904108945806333,0.0,9.223378197704738,0.0,58.80826212174115,,0.3874229699635783,2.666302224415923
54,55,287.80588443391554,246.84689068859453,,286,290,245,249,21.0,0.7576583321154217,0.7173190272890264,-43.737592731910766,0.3219463296202616,0.0,1.7093052121903265,0.0,3.4363600047625225,,0.05324207906981737,1.7373024896508085
